name,mbase,bus_index,pg,qg,fuel,fuel_type,pmin,pmax,qmin,qmax,year_added
gen_1085_2,77.87963626291821,1218,-7.999999925901295e-9,-0.1264141874128206,wind,Wind,0.0,0.4290658844018033,-0.14302196146726778,0.07151098073363389,2042
gen_2024_2,108.100446894949,637,1.1000000106522343,0.49999998490882985,wind,Wind,0.0,0.9350460960088136,-0.42502095273127893,0.42502095273127893,2042
gen_BAKING1,16.331269976336806,1547,0.0,-0.7957050950398918,solar,Solar,0.0,0.0,-0.0,0.0,2042
pv_N1_1,229.248777746538,2012,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2042
pv_Q8_2,1118.033988749895,2001,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2042
wtg_Q2_1,1118.033988749895,1655,0.0,0.0,wind,wind,0.0,5.126287895636052,-2.563143947818026,2.563143947818026,2042
wtg_Q4_1,1118.033988749895,1790,0.0,0.0,wind,wind,0.0,5.126287895636052,-2.563143947818026,2.563143947818026,2042
gen_4082_2,113.00355731985677,1887,1.100000010350988,-0.027743415530660176,wind,Wind,0.0,0.546335207295586,-0.19866734810748585,0.19866734810748585,2042
gen_WRSF1,22.219414933791576,968,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2042
pv_Q7_1,1118.033988749895,2000,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2042
gen_MAROOWF1,7.665698152158093,1535,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.02954129149478395,-0.014297985083475432,0.014297985083475432,2042
gen_5004_1,147.69696593489502,1707,1.5000000147720554,0.30919270275534266,hydrowater,Hydro,0.0,1.44,-0.8640000000000001,1.056,2042
gen_KINGASF1,44.43882986758315,1878,0.0,-0.7957050950398918,solar,Solar,0.0,0.0,-0.0,0.0,2042
pv_N2_4,581.4000368757222,2014,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2042
gen_BRAEMAR5,200.53021977746894,659,-8.515848799878692e-9,-0.11082488334173381,wind,Wind,0.0,0.9252949651623074,-0.44784276313855675,0.44784276313855675,2042
gen_MOREESF1,62.21436181461642,1336,0.0,-1.6999999719524246,solar,Solar,0.0,0.0,-0.0,0.0,2042
wtg_Q6_2,1118.033988749895,2013,0.0,0.0,wind,wind,0.0,5.126287895636052,-2.563143947818026,2.563143947818026,2042
