name,mbase,bus_index,pg,qg,fuel,fuel_type,pmin,pmax,qmin,qmax,year_added,bus_name,area
pv_S2_1,61.70429583910669,2003,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2025,connection S2,13
gen_2095_2,190.50777777777776,1889,2.268510848065453,-0.3595825302704559,wind,Wind,0.0,0.5143232090664601,-0.1607260028332688,0.214301337111025,2025,bus_2095,7
wtg_Q8_2,881.4020950309795,2001,0.0,0.0,wind,wind,0.0,1.4584976150364677,-0.7292488075182338,0.7292488075182338,2025,connection Q8,11
gen_1080_8,96.5074638390634,1649,1.0000000096478567,-0.1245091745120508,wind,Wind,0.0,0.261764338941025,-0.10470573557641,0.10470573557641,2025,bus_1080,4
gen_3443_2,450.46635990520974,1448,1.4879827640775537e-08,0.0064793015390744,blackcoal,Fossil,0.0,4.26,-0.7987499999999998,1.464375,2025,bus_3443,9
gen_5041_5,67.2894188493956,862,0.7000000097749194,0.1320891858015257,wind,Wind,0.0,0.2461000616018391,-0.1406286066296224,0.2461000616018391,2025,bus_5041,15
gen_CBWF1,21.99722078445366,986,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.0579096190358399,-0.0280282556133465,0.0280282556133465,2025,starbus_xf_2191_2023_2024_1,4
gen_1024_2,0.7164935316257183,1909,0.80000000965133,0.0,solar,Solar,0.0,0.0,0.0,0.0,2025,bus_1024,4
gen_3453_1,24.0841503046104,45,-8.821856916465006e-09,0.012738575734369,wind,Wind,0.0,0.3339734755709814,-0.1113244918569938,0.2226489837139876,2025,bus_3453,8
gen_MSTUART2,251.57377073412164,591,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.4189376450015006,-0.2027658201807262,0.2027658201807262,2025,bus_3280,9
gen_4065_4,50.534916421992605,1033,2.6999998617854417,0.6708307361328479,naturalgas,Fossil,0.0,0.4679999999999999,-0.0866666666666666,0.1906666666666666,2025,bus_4065,14
pv_Q6_1,91.3657375606414,2013,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2025,connection Q6,9
gen_1074_2,126.35216756325902,1365,1.1000000106483183,-0.2300947269397747,wind,Wind,0.0,0.1406925613620412,-0.0383706985532839,0.0383706985532839,2025,bus_1074,4
gen_2055_2,69.6506796327507,589,0.7000000097734485,0.200000006066792,hydrowater,Hydro,0.0,0.29,-0.1242857142857142,0.0828571428571428,2025,bus_2055,5
gen_4061_2,43.66062299143245,1402,-9.791274748520029e-09,0.0284330133615744,naturalgas,Fossil,0.0,0.4,0.0,0.175,2025,bus_4061,13
pv_V2_1,697.7873730585844,654,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2025,bus_2106,5
wtg_V4_3,490.4479698449165,811,0.0,0.0,wind,wind,0.0,1.282990534467269,-0.6414952672336345,0.6414952672336345,2025,bus_2200,5
gen_4022_2,16.55719254583941,464,1.1999977458316644,-0.0999996439130205,solar,Solar,0.0,0.0,-0.0,0.0,2025,bus_4022,12
gen_Ballarat Base Hospital Plant,1.7775531947033258,1883,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.1579353246431999,-0.0764406971273087,0.0764406971273087,2025,bus_2164,6
gen_3431_1,133.90290759401574,1417,4.200000041641623,0.503958674525737,naturalgas,Fossil,0.0,1.22,-0.3195238095238095,0.5519047619047618,2025,bus_3431,9
gen_1038_1,343.073364149896,822,2.506806180612253,-0.3858233050387833,hydrowater,Hydro,0.0,0.29,-0.0745714285714285,0.0745714285714285,2025,bus_1038,4
gen_2063_1,823.9825492765884,1348,-9.285659235802481e-09,1.300000003664417,hydrowater,Hydro,0.0,7.75,-1.5069444444444442,2.798611111111112,2025,bus_2063,5
gen_3655_1,579.8661901449091,60,4.2545602006470205,-0.959945771871904,blackcoal,Fossil,0.0,7.44,-2.30896551724138,2.9503448275862065,2025,bus_3655,11
gen_BRAEMAR7,200.53021977746891,659,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.3339364742995908,-0.1616252535610019,0.1616252535610019,2025,bus_3121,9
gen_2091_1,100.8087346,1410,1.1000000105157015,0.199999564989507,wind,Wind,0.0,0.7019347761919995,-0.1276245047621817,0.1276245047621817,2025,bus_2091,6
gen_TARALGA1_2,39.550558582149,41,-8.515848799878692e-09,-0.1108248833417338,wind,Wind,0.0,0.0410882295692261,-0.0198867031115054,0.0198867031115054,2025,bus_1260,2
wtg_S3_2,661.2164812865755,1551,0.0,0.0,wind,wind,0.0,2.5580409554635617,-1.2790204777317808,1.2790204777317808,2025,bus_4107,13
gen_2010_5,28.039152982927284,1210,1.0000000058916103,-0.0089157952470531,hydrowater,Hydro,0.0,0.279,-0.0279,0.0279,2025,bus_2010,6
gen_4081_2,85.50290291124624,395,-9.68851251153455e-09,0.0377858736264067,wind,Wind,0.0,0.3587857784881932,-0.1345446669330724,0.0896964446220483,2025,bus_4081,14
gen_3420_2,38.25480271542186,1839,0.8204994815211015,-0.5213921649146753,hydrowater,Hydro,0.0,0.35,-0.0617647058823529,0.1544117647058823,2025,bus_3420,9
gen_2063_2,823.9825492765884,1348,-9.285659235802481e-09,1.300000003664417,hydrowater,Hydro,0.0,7.75,-1.5069444444444442,2.798611111111112,2025,bus_2063,5
pv_N1_1,185.59364213248253,2012,0.0,0.0,solar,solar,0.0,0.0,-0.0,0.0,2025,connection N1,2
gen_3444_4,374.71153841885024,1580,6.477506029201183,1.2729506936195132,blackcoal,Fossil,0.0,3.5,-1.0808823529411766,1.3382352941176472,2025,bus_3444,9
