name,mbase,bus_index,pg,qg,fuel,fuel_type,pmax,qmax,year_exp,exp_time
pv_S4_1,0.0,2004,0.0,0.0,solar,solar,0.0,0.0,2025,2025-12-01
gen_3455_3,23.6974350718665,1087,-9.384042190406689e-09,0.0131646215050812,hydrowater,Hydro,0.3,0.2,2025,2025-12-01
gen_4037,0.3639012011000001,926,0.0,-0.0138656237139231,solar,Solar,0.0,0.3,2025,2025-12-01
owtg_V8_1,0.0,2019,0.0,0.0,offshore_wind,offshore_wind,0.0,0.0,2025,2025-12-01
wtg_N6_1,0.0,1393,0.0,0.0,wind,wind,0.0,0.0,2025,2025-12-01
gen_1068_2,1667.0932787339766,667,0.3000000096674061,0.1644839698873288,naturalgas,Fossil,14.4,8.4,2025,2025-12-01
wtg_V5_1,0.0,1004,0.0,0.0,wind,wind,0.0,0.0,2025,2025-12-01
gen_3456_4,24.5818638734054,166,-8.821841233388489e-09,0.0134439229907317,hydrowater,Hydro,0.3,0.2,2025,2025-12-01
gen_4010_21,0.287716344,1800,0.0260771621233021,0.0999999289904775,solar,Solar,0.3,0.1,2025,2025-12-01
gen_1067_1,894.4271909999159,1318,0.4000000096607614,0.1999999956764661,naturalgas,Fossil,8.0,4.0,2025,2025-12-01
gen_3462_1,195.96899449389895,1355,2.0000000196666483,-0.0952663147495664,naturalgas,Fossil,2.0,0.9,2025,2025-12-01
wtg_Q7_1,0.0,2000,0.0,0.0,wind,wind,0.0,0.0,2025,2025-12-01
gen_3449_2,35.1063570457092,1353,-8.729820151989273e-09,-0.0078910873918882,naturalgas,Fossil,0.4,0.2,2025,2025-12-01
pv_S3_1,0.0,1551,0.0,0.0,solar,solar,0.0,0.0,2025,2025-12-01
pv_Q9_1,0.0,2002,0.0,0.0,solar,solar,0.0,0.0,2025,2025-12-01
gen_3448_1,35.3824854665436,228,-8.738819969300833e-09,-0.0074915179224723,naturalgas,Fossil,0.4,0.2,2025,2025-12-01
gen_3586_2,426.8220308,826,0.569220042870208,-0.1864260080024204,blackcoal,Fossil,4.3,1.9,2025,2025-12-01
gen_4372_12,0.0431264416426419,985,0.0,0.099999933356169,solar,Solar,0.0,0.1,2025,2025-12-01
gen_3418_2,313.04951684997053,608,1.3467125466708447,-0.1660679387442599,blackcoal,Fossil,2.8,1.4,2025,2025-12-01
gen_3423_1,313.04951684997053,608,4.300000042648969,0.644196010929329,blackcoal,Fossil,2.8,1.4,2025,2025-12-01
gen_2062_2,331.058907144937,1107,1.1000000105261836,0.1999979521916789,naturalgas,Fossil,3.0,1.4,2025,2025-12-01
gen_3466_1,34.7002429670887,1479,0.4000000096307589,0.038833101344188,naturalgas,Fossil,0.4,0.2,2025,2025-12-01
gen_4018_1,0.5888280384633691,1672,0.5999990603955058,-0.0999279660375677,solar,Solar,0.6,0.1,2025,2025-12-01
gen_2017_1,0.805258456163574,1489,0.0,0.0829755625258926,solar,Solar,0.0,0.6,2025,2025-12-01
gen_5230_2,36.1447293923702,570,-5.756614696278381e-09,0.0145969949426927,hydrowater,Hydro,0.4,0.2,2025,2025-12-01
