number,name,base_voltage,angle,magnitude,area,x,y
256,bus_1539,11.0,-0.23666870570559925,1.0482826699121668,2,71,-177
522,bus_5215,22.0,-0.2323759978381291,0.9952019650462117,15,711,-5677
1419,bus_5037,16.0,-0.004914471439896548,0.98842,15,1044,-5875
1173,bus_1126,330.0,0.033815200933263935,1.0493236826675787,2,1335,1359
1484,bus_3258,132.0,-0.2834881556662901,1.0380537153498852,8,-631,5997
1761,bus_3482,132.0,-0.03992991585420854,1.0533398588730423,8,-982,5236
1797,bus_2147,220.0,-0.41464654161569,1.0304514729526635,6,693,-3618
1810,bus_2292,66.0,-0.41373805159533317,1.025184470378807,6,682,-4013
377,bus_3447,11.0,-0.1815024605833402,1.125945210433097,9,-653,5533
524,bus_3026,33.0,-0.06138101470381067,1.0359480199103097,9,180,3842
1234,bus_4318,66.0,0.967393126405609,1.045633281402117,14,-1715,-2814
936,bus_1173,132.0,-0.0692042013424446,1.00407,1,2300,2524
401,bus_5210,11.0,-0.12953013370048436,1.0205207962256524,15,712,-6485
591,bus_3280,132.0,-0.06951324920797174,1.06298,9,631,4333
534,bus_5128,110.0,0.00723872775414968,1.0656922024435915,15,1903,-5666
809,bus_4125,275.0,1.0234101201995776,1.0535568265683382,13,-2074,-2389
714,bus_3108,132.0,-0.2821613527940783,1.0344986467366872,8,-693,5928
318,bus_1076,12.5,0.06364837926043761,0.9874435990761949,4,1462,-1510
341,starbus_xf_1121_1123_1634_6,500.0,-0.07890111916819356,1.0065009245403722,2,715,112
1276,bus_1401,132.0,-0.3135417955347496,1.0510819687919006,2,311,234
1553,starbus_xf_3633_3514_3513_4,110.0,-0.39686486758216977,1.047765433008076,11,-1147,2506
1656,bus_4454,11.0,0.9454453270591394,1.0058209515924423,13,-2158,-2672
1343,bus_1532,33.0,0.054337193949911274,1.0537768776416483,2,899,491
1129,bus_1373,132.0,-0.3454849401276775,1.0531420820519946,3,1380,-431
367,bus_1519,11.0,-0.23495426892187282,1.0864337179736328,2,-62,-589
1780,bus_4276,66.0,0.9769358022991873,1.0227060216853843,13,-2075,-2558
1850,bus_5233,11.0,0.07145827571793897,1.01403,15,769,-6046
241,bus_3024,132.0,-0.03861944463385232,1.066921175907334,9,120,3768
1395,bus_2058,0.6899999999999998,0.09397083863751539,1.07694,5,-267,-3784
532,bus_1093,330.0,-0.21074201642209472,1.0519109370979751,2,703,45
805,bus_1225,132.0,0.05224162271527472,1.084868938718883,4,2666,-1661
1478,bus_3433,6.6,-0.040139793635798934,1.0423253191191002,8,-1287,5502
1586,bus_4460,11.0,0.8757662119443571,0.9848909693451816,14,-1886,-2512
1040,bus_1333,132.0,-0.20299096238405112,1.0702547470186137,2,735,61
1788,bus_2129,220.0,-0.17367800907450845,1.0799437918915316,5,165,-3371
854,bus_1006,11.0,-0.012928325476661921,1.066907133909997,2,762,864
1803,bus_4041,10.5,1.0578588283753159,0.9989252148529868,13,-2457,-1657
689,bus_1555,11.0,-0.40318048170756887,1.023446616721662,3,1451,-458
207,starbus_xf_1092_1093_1525_1,500.0,-0.20565533583280374,1.00445983109828,2,703,257
536,bus_3294,33.0,-0.35012952609054016,0.9433155657404575,8,-1125,6585
836,starbus_xf_3413_3415_3414_1,110.0,-0.379412473243292,1.0566187267415068,11,-187,2958
1031,bus_4419,11.0,0.9439905329058542,0.9835151413326954,13,-2569,-2611
247,bus_4049,0.6899999999999998,1.0854410871570286,1.0973457462448664,12,-2992,-1827
995,bus_3560,275.0,-0.17499869710401758,1.0536492981037135,11,-587,3475
715,bus_4197,132.0,0.9568911712406211,1.0563080960677163,12,-2609,-831
725,bus_1392,132.0,-0.1705562171052344,1.0697868697954822,1,2133,2144
1667,bus_1215,132.0,-0.335699027146074,1.0465973636721804,3,876,-435
1739,bus_2002,0.6899999999999998,-0.14923854493509897,1.0429335522671483,6,51,-4179
695,bus_2264,66.0,-0.5310052520380627,1.0009618672279372,7,1031,-3962
1670,bus_2219,66.0,-0.3817702210183024,1.0060839189527784,6,120,-4188
52,bus_1034,22.0,0.1384340997697464,0.97349,2,1244,1161
43,bus_3304,11.0,-0.41780057446326463,1.011449648783798,11,138,3156
921,bus_1127,132.0,-0.36148917410793807,1.0505367591707802,2,433,-576
1126,bus_5061,110.0,-0.1652110307372224,1.0617945991497972,15,1590,-5552
326,bus_3010,132.0,-0.24859414887949116,1.0543770831916222,9,-1345,4055
128,bus_2236,66.0,-0.4137977576279976,1.0270394971207684,6,324,-3947
875,bus_4339,66.0,0.9694798669928884,1.0511932704677116,14,-1757,-2733
1804,bus_4443,11.0,0.938794949087011,1.0070137111258584,14,-2318,-3521
1921,bus_2325,10.5,-0.19844402156706506,1.02592,6,967,-3314
790,starbus_xf_2191_2031_2022_5,330.0,0.029714745671309883,0.9924945772719457,4,740,-1889
891,bus_4300,66.0,0.970992885212525,1.0444535829960078,14,-1720,-2576
1880,bus_5045,1.0,0.23148416227233248,1.07274,15,2045,-5746
1219,bus_3656,19.0,0.11429167201232711,1.0051,11,422,2892
1692,bus_2060,11.5,0.16655249266901545,0.97517,6,1089,-3056
1403,starbus_xf_4220_4074_4499_5,132.0,0.34752042189645793,1.0589788058523955,14,-898,-2745
152,bus_4083,1.0,0.4371781915363631,0.98213,14,-908,-3252
1002,bus_4340,33.0,0.19675904725284143,0.9823117627833036,14,-1008,-2283
1547,bus_3002,132.0,-0.30299812811186555,1.0536492981037135,8,-1218,5893
173,bus_4043,9.5,1.0578588289453734,0.9989252067458285,13,-2428,-1596
584,bus_1365,132.0,-0.05737207266147681,1.0923210251514859,4,816,-1464
1997,bus_4442,11.0,0.9507698401758328,0.9983484953796996,14,-2244,-3630
283,bus_1222,220.0,-0.021370994924286627,1.0794645535019138,5,559,-2881
659,bus_3121,66.0,-0.17251196217286807,1.06298,9,-514,5595
672,bus_1221,132.0,-0.34507022496036965,1.0537315637342075,3,1237,-445
1104,bus_3287,132.0,-0.11379629733590782,1.0684765934677112,10,1311,4487
1579,bus_2189,220.0,-0.4054479604562484,1.0331340120551904,6,399,-3860
1762,bus_3550,275.0,-0.02776920427130424,1.070907043422534,9,-918,4796
1454,bus_2040,15.75,-0.17408045069843847,0.98898,6,440,-4194
1825,bus_5202,11.0,-0.17773893851206218,1.0399313826453287,15,941,-6397
262,bus_5119,110.0,-0.18661942015784996,1.017017398459917,15,1073,-5646
1723,bus_5177,33.0,-0.1674309106215729,1.0355363317031145,15,981,-6261
878,bus_2034,10.5,-0.3000297833818742,0.9695676810462458,7,1337,-4187
1524,bus_4051,0.6899999999999998,0.9943442488037907,1.09411,12,-3008,-349
1275,bus_3190,132.0,-0.3516880368611527,1.028825756620975,8,-791,6837
763,starbus_xf_3302_3304_3303_2,110.0,-0.37033655332349025,1.0235316634420446,11,66,3102
940,bus_4461,11.0,0.832815469615814,0.9814683939946915,13,-2012,-2461
829,bus_3267,66.0,-0.29336252918946637,1.0643538802823609,8,-972,7187
1589,bus_1544,33.0,0.03025923089237701,1.1244877595322023,2,1393,1164
1483,bus_1350,132.0,-0.34567505600414683,1.0503509092011698,3,1684,-523
432,bus_5059,110.0,-0.07137832225962654,1.0707207414411477,15,1761,-5608
489,bus_4356,33.0,1.020808491894561,0.9372266497476018,12,-3940,-1763
767,bus_1142,330.0,-0.006681898698238588,1.027,1,1349,2391
1100,bus_2187,220.0,-0.27382739858321536,1.0887409736822922,7,1189,-3799
313,bus_2013,11.0,-0.13144655979011519,0.9749812417894894,6,1038,-2962
498,bus_1535,66.0,-0.14241362407223804,1.0602679032043847,1,2018,2379
11,bus_3213,110.0,0.01335277232210524,1.0245658064948024,11,-1492,2904
1348,bus_2063,20.0,-0.26257469972969955,0.99413,5,-101,-3147
1401,bus_3270,66.0,-0.35708951095350144,1.0405884841495994,8,-1045,6993
1716,bus_3626,132.0,-0.32295254417779357,0.9729757217770073,8,-1435,6262
434,bus_1437,132.0,-0.23589686676216312,1.0154709341311636,2,-579,-293
1969,bus_5182,22.0,-0.11045125678335292,1.0586441064236127,15,569,-5783
833,bus_5065,110.0,-0.19080392870792817,1.0488907452953955,15,1501,-5533
1188,bus_1506,11.0,-0.1402170306234193,1.086073078545694,4,615,-1182
1441,bus_1378,132.0,-0.22008927307200604,1.0479232900729052,2,-457,-330
396,starbus_xf_3486_3561_3487_1,132.0,-0.33344131872361227,0.9959589682928488,8,-1211,6608
1505,bus_3498,132.0,-0.00563186210621269,1.0435269792169,9,-96,3624
1103,bus_2252,66.0,-0.48547527381827343,1.0449263406708102,6,416,-4320
676,bus_3410,11.0,-0.42318831941385343,1.0127758660117587,11,-1267,3530
350,bus_3206,33.0,-0.34896079972868715,1.0241602949192083,11,-1033,3534
1120,bus_3387,11.0,-0.42512933833553324,1.0167159727168484,11,-1456,2485
1231,bus_3283,66.0,-0.35869489270832006,1.0428883302973562,8,-997,6898
148,bus_4390,33.0,0.4670591012454421,0.9696992786743013,14,-1258,-2001
1621,bus_1629,33.0,-0.26935865686229876,1.0761008882860046,1,1875,1982
1476,bus_2307,22.0,-0.4053684144567718,1.0485497073096393,7,1400,-4609
1820,bus_3043,11.8,-0.02423992980145559,1.0578380634889795,9,94,5061
98,bus_2029,15.0,0.036474388273561545,0.9949908600102572,5,780,-1912
1009,bus_1041,15.4,0.20402619560467142,0.98186,4,1354,-1585
600,bus_2125,220.0,-0.29284412679544114,1.050101011763338,6,504,-3172
1640,bus_3074,110.0,-0.08365654226359978,1.0455508413444714,11,-951,2806
771,bus_1416,132.0,-0.01942541242273349,1.0644562307209076,2,1700,1483
358,bus_4149,275.0,0.7890335322755946,0.9787890762553162,14,-1481,-2118
1423,bus_1460,132.0,-0.34611904610049204,1.0533202388320215,3,1113,-471
965,bus_3332,132.0,-0.5565083506297367,0.9988842370763368,8,-2094,6974
1300,bus_4296,66.0,0.9646846837754942,1.024117188985438,13,-1884,-2362
231,bus_2096,66.0,-0.15300653889846536,1.1204130049304288,6,144,-4164
1611,starbus_xf_4109_4357_4358_1,275.0,1.034801060838919,1.0423351373891172,13,-2836,-1815
430,bus_5237,33.0,-0.14524976218832056,1.0056914665382886,15,963,-6343
1968,bus_4457,11.0,0.900417063961352,1.1000000109401415,13,-2087,-2335
1252,bus_3409,11.0,-0.4356637931424246,1.0204799087425325,11,-1280,3508
1953,bus_1597,66.0,-0.36054541280713154,1.0269001582733583,1,-1096,1993
1004,bus_2202,500.0,-0.3298566772989217,1.0726186674619618,7,721,-4255
930,bus_3652,330.0,0.033676408172052925,1.0618566570681693,11,228,2866
764,bus_1463,132.0,-0.20339221302098018,1.0541648276891316,2,703,849
1225,bus_4231,66.0,0.993303854787057,1.0157419732417814,14,-2402,-3075
48,bus_3615,275.0,-0.025526222709618678,1.0805926920813815,10,621,3932
694,bus_2306,22.0,-0.32828114498723365,0.99713819329672,6,339,-3574
948,bus_2303,22.0,-0.1554617201189107,1.0232136878299782,5,-404,-2893
593,bus_1550,66.0,-0.14669117444673851,1.0659701129033894,2,322,-48
1577,bus_4435,11.0,0.9468121511349322,0.9991787654874151,14,-2180,-3969
344,bus_1482,66.0,-0.10382412493787474,1.0495925418034815,4,860,-1643
597,bus_4427,7.6,1.0442839602492215,0.9862347108876687,14,-1900,-3493
614,bus_2146,220.0,-0.408047643810458,1.038004369321867,6,464,-3836
395,bus_4081,1.0,0.3901684870043044,1.01253,14,-993,-3168
543,bus_1395,132.0,-0.1844006293298655,1.0437897320488903,4,951,-2174
1671,bus_3623,110.0,-0.31243602522921154,1.0467699237451642,11,-816,3268
753,bus_3251,33.0,-0.1106172589866647,1.0278357218933438,9,-1899,5093
538,bus_2341,11.0,-0.3282811325437057,0.9971379483227709,6,343,-3661
717,bus_2309,22.0,-0.4085077672818551,1.0479816971478035,7,1443,-4803
105,bus_4170,132.0,0.9944450830509841,1.049199747093307,12,-3108,-1515
1081,bus_1259,132.0,-0.32064964035036975,1.0362076293436453,2,-164,-511
1316,bus_3203,110.0,-0.2970508546099401,1.051363422175372,11,-995,3510
1728,bus_2257,66.0,-0.2372236842444684,0.9762170623155074,6,869,-2937
1381,bus_3438,15.75,0.05835624335844587,0.9907885278760761,9,371,3639
1520,bus_2334,11.0,-0.1678126587040918,1.0184814007896574,5,791,-2400
1256,bus_5039,16.0,-0.02683638117617177,0.98837,15,910,-5711
1966,bus_2268,33.0,0.048959761093281234,1.0402092872830264,5,10,-3687
1006,bus_1015,0.6899999999999998,-0.05813077419523576,1.029964821558535,1,2802,2320
1793,bus_2015,11.0,-0.26241763833244286,1.00988,6,857,-3331
1899,bus_2262,66.0,-0.37631662860395104,1.059727136520149,7,1307,-4462
782,bus_3422,15.75,0.1179176205187348,1.04914557496337,9,-963,4900
3,bus_1000,0.55,-0.23497822060587395,1.0865732187277566,2,-238,-725
70,bus_4132,66.0,0.9808728677964996,1.0192262664937854,13,-2547,-2226
1344,starbus_xf_1148_1077_1078_3,330.0,0.06931618130963282,1.0331962162321786,4,1369,-1490
1951,bus_3474,33.0,-0.3430158325111653,1.0352721299068113,11,-1309,2283
1835,bus_1480,132.0,-0.08816285729835258,1.0655397428790028,4,858,-1966
125,bus_3567,275.0,-0.23927620371260575,1.0536492981037135,11,-813,3546
1357,bus_5043,0.6899999999999998,0.02893679241648926,1.0819916087464907,15,2004,-5764
1512,bus_3016,33.0,-0.127939600634207,1.1000000102287633,11,-931,2995
89,bus_5235,11.0,0.05610031398974717,1.001014745914048,15,437,-6122
233,bus_4490,11.0,0.9351822963288106,0.9955058679097312,13,-2624,-2161
1830,bus_3191,22.0,-0.425908903665939,1.0319539244722866,8,-1368,7212
1960,bus_1075,12.5,0.17848589672760026,0.97025,4,1455,-1491
887,bus_3035,66.0,-0.23971378121175727,1.0604970162095158,9,-1309,4480
572,bus_3273,132.0,-0.13902989964422174,1.03192,9,-22,5394
482,bus_3440,15.75,0.059650018488744544,0.9945460459261974,9,338,3632
26,bus_4168,132.0,0.9919924829132608,1.0519500807160378,12,-3294,-1435
418,bus_5072,110.0,-0.3244461791471252,1.0567422256828354,15,819,-5329
1720,bus_1502,66.0,-0.2927313377444217,1.0423080837177041,2,178,981
1877,bus_1139,132.0,-0.17168932518283503,1.045569616396981,4,1042,-2200
629,bus_4428,7.6,1.0210884793524804,0.968052808324212,14,-2072,-3582
1428,bus_4014,0.48,1.0752835562575214,1.0562163832109068,12,-3051,-1943
641,bus_4480,11.0,0.9611393788739885,1.0409933885350295,13,-1918,-1872
445,bus_2267,33.0,0.05713108276915896,1.0630054509549345,5,-2,-3673
143,bus_3519,110.0,-0.2799859192439419,1.0612453115322213,11,-885,3246
1531,bus_4337,66.0,0.9820596005672675,1.0218569087055434,13,-2440,-2336
1027,starbus_xf_2195_2293_2332_2,330.0,-0.1425992666519089,1.0271059308525954,5,713,-2244
1631,bus_3029,33.0,-0.31231082007294564,1.043750708525167,9,-1272,4174
1766,bus_1114,330.0,-0.09936052013578894,1.0311465188063351,4,1232,-816
494,bus_5231,11.0,0.06575938403276756,0.98153,15,748,-6038
731,bus_5120,22.0,-0.23889897789494388,1.1000000102199836,15,1056,-5668
1474,bus_4172,132.0,0.9958832496668968,1.0290048309633637,12,-2715,-1346
130,bus_1002,23.0,-3.167305654940399e-30,1.01556,2,752,809
1133,bus_1568,66.0,-0.23999744851333368,1.0827462115916742,2,3,-187
1569,bus_4157,132.0,0.9856042324651146,1.007553979352179,12,-3501,-1584
1119,bus_1036,22.0,0.14713804834114708,0.93205,2,1257,1143
1988,bus_3011,33.0,-0.2810907340898768,1.0099361116414798,9,-1396,4072
1719,bus_1118,330.0,0.07562057907539745,1.0337184759326778,4,1300,-1557
1117,bus_3485,19.1,-0.22996669914056989,1.0856581676774977,8,-837,5608
1637,bus_1581,33.0,-0.4503952646330956,1.0905487075007056,1,27,1398
768,bus_1269,132.0,-0.3474715464508724,1.0520431580125975,3,1296,-332
1078,bus_2032,10.5,-0.30002978327695284,0.9695676818519525,7,1337,-4214
1247,starbus_xf_2145_2243_2306_1,220.0,-0.3125390654565408,1.0117572224393336,6,326,-3443
620,bus_2099,132.0,-0.26702488855593687,1.0345418605850494,6,198,-3943
304,bus_1318,33.0,-0.21566888015709176,1.0343668854255956,5,671,-2297
972,bus_1418,132.0,-0.23168356872496354,1.0345751374444259,2,-396,-263
1111,bus_1404,132.0,-0.2781440724070406,1.034263363501135,3,1160,345
102,bus_5187,22.0,-0.21289746840947027,1.0367219582281293,15,1632,-5585
246,bus_1393,132.0,-0.35429010017780477,1.0508718293325445,2,580,-475
678,bus_3012,11.0,-0.27962233487021665,1.0389294453712068,9,-1453,4074
813,bus_1244,132.0,-0.3605634339996651,1.0506680240217805,2,482,-493
1412,bus_1243,132.0,-0.3564994404360187,1.0513581762861812,2,658,-372
320,bus_3328,11.0,-0.44969368898170065,1.0032366433000615,11,-1388,2149
946,bus_2001,0.6899999999999998,-0.17879496446219956,1.066927196946049,6,32,-4157
23,bus_4467,11.0,0.9314068546626756,1.0229433629142866,14,-1686,-3006
407,bus_4193,132.0,0.9480262822242156,1.028142832194623,13,-2249,-1373
1010,bus_3189,132.0,-0.4192916495594614,1.0206649884414536,8,-1369,7106
1264,bus_4455,11.0,0.9152687812251721,1.0020168830862644,14,-1789,-2936
1879,bus_4477,11.0,0.9266323936488243,1.0513660925174404,13,-1971,-2187
199,bus_3150,132.0,-0.1623269994413086,1.0634501920138026,9,10,5394
815,bus_5068,110.0,-0.13516347756873417,1.0414933291409048,15,383,-5832
1581,bus_4437,11.0,0.9448079848133509,0.9889306276811655,14,-2164,-4133
365,bus_1529,132.0,-0.3463975352703034,1.050446067498993,3,1191,-613
517,starbus_xf_4166_4356_4492_4,132.0,1.0217272252390357,0.9383964168498145,12,-3848,-1764
1182,bus_3464,10.5,0.1568705381434683,0.9679155532035068,11,-1601,2924
1497,bus_2347,33.0,-0.24997931967834294,0.9954329258483137,5,-389,-3223
1168,bus_2169,220.0,-0.22395292857463298,1.0376979591526743,6,629,-2952
1442,bus_1607,33.0,-0.057691479196472696,0.9789011743757856,1,2576,2235
780,bus_3140,132.0,-0.3351913365305376,1.0254212055615413,8,-1156,6759
1627,bus_1188,132.0,-0.3395045558124802,1.0350734883428145,2,166,565
1591,bus_2111,220.0,-0.4137380524245212,1.025184495356206,6,540,-4107
905,bus_4468,11.0,0.9309729714153729,1.026455371508473,14,-1452,-3242
447,bus_2343,33.0,0.0950307034272265,1.0217695948651504,5,-249,-3683
973,bus_3154,11.0,0.14654350561234852,1.073493882640691,10,631,4150
631,bus_4498,11.0,0.342329095243217,1.0674487627970477,14,-914,-2821
1430,starbus_xf_3359_3360_3361_2,110.0,-0.3493709395284632,1.0137479120453343,11,-1519,3506
1506,bus_3311,110.0,-0.3007208654312588,1.0599800178192336,9,-668,4073
171,bus_4472,11.0,0.9331449546207711,1.022381209982492,14,-1519,-3336
876,bus_1218,110.0,-0.32213799854352465,1.0494523263951645,1,-52,1424
1236,bus_4046,10.5,1.0578588284124684,0.9989252108001028,13,-2458,-1623
1973,bus_4241,66.0,0.9861696958093464,1.0250177376913059,13,-2313,-2476
1828,bus_3179,11.0,-0.4526180640095952,1.0184393846552173,11,-1336,2364
1551,bus_4107,275.0,1.0174742349122765,1.0403632930073323,13,-2794,-1647
497,bus_1481,132.0,-0.08776010699519754,1.0699238994977236,4,894,-1579
1610,bus_4135,275.0,0.9968354469274332,1.0526616336980938,13,-1965,-2388
1540,bus_3237,110.0,-0.3341487403637394,1.06298,9,-472,4285
1639,bus_3463,10.5,-0.06656990358191123,0.9854364647727193,8,-928,7430
93,bus_3094,132.0,-0.5402970853932636,1.0006709572074781,8,-1895,6824
1813,bus_5103,110.0,-0.11631195532986936,1.0278241149202663,15,796,-6353
1289,bus_3587,20.0,0.01548152207256198,1.0400142109683075,9,-557,4889
1295,bus_3274,132.0,-0.14019024715022288,1.0548124760062194,9,-68,5301
1684,bus_4243,66.0,1.0499265437365715,1.0068971706698608,14,-1970,-3309
1513,bus_1100,330.0,0.05227586015460014,1.0513100880147348,2,910,619
645,bus_2237,66.0,-0.4526825094609728,1.02797832703565,6,336,-3883
1845,bus_1003,23.0,-0.0261051592729974,1.02626,2,769,804
393,bus_4143,275.0,1.0190060654478543,1.0509295267899381,13,-2306,-1996
292,bus_1004,23.0,0.11834689385563403,0.999,2,687,561
599,starbus_xf_2191_2020_2021_7,330.0,0.02951394064350419,0.9990258493550974,4,740,-1889
165,bus_3569,275.0,-0.11320358848478372,1.0848001547752268,9,-704,5136
8,bus_1611,11.0,-0.20761041617491907,1.0606212457309643,1,2223,2165
273,bus_3264,15.0,0.17326495126379937,1.089410984352306,9,-1446,4647
1467,bus_1522,33.0,-0.4505764106250911,1.0897421072089215,1,-24,1461
1920,bus_5214,22.0,-0.12629765125043332,1.0192157557982253,15,1122,-6320
646,bus_5050,110.0,-0.09625036557151075,1.0644790909754962,15,765,-5745
701,bus_5114,110.0,-0.12603057958236819,1.031161841620135,15,1075,-5837
555,bus_1044,23.0,0.07520503436512395,0.99894,2,551,47
196,bus_1226,132.0,-0.08981007195538197,1.0515673433718449,1,1876,1777
1817,bus_1564,33.0,0.024443296330466165,1.0417064754977208,4,1563,-1055
1942,bus_5018,13.2,-0.15972733727403046,1.05271,15,860,-5378
352,bus_4334,66.0,0.9677182559460834,1.0259605154977927,13,-1759,-2530
1098,bus_2249,66.0,-0.5051769695387883,1.0365096221813683,6,472,-3932
831,starbus_xf_1296_1504_1505_2,132.0,-0.14105941499737995,1.086434804344482,4,629,-1107
40,bus_2350,11.0,-0.047327684074326165,1.0865270324523177,5,216,-3308
1099,bus_1648,66.0,-0.15589908763268479,1.0477679901682777,1,2236,2578
1346,bus_4462,66.0,0.8328154758567191,0.9937365567589419,13,-2055,-2496
300,bus_3107,66.0,-0.07550001066172593,1.0584627392208437,8,-1049,5444
1499,bus_1284,132.0,-0.37077502925141165,1.0474740539474259,2,295,758
1382,bus_3067,132.0,-0.35164125571507604,1.0303654957364246,8,-937,6566
1123,bus_5033,18.0,1.2907178525270335e-32,0.9492,15,609,-6237
1097,bus_2310,22.0,-0.37138878590532026,1.0291680739401403,7,1429,-4466
1909,bus_1024,0.6899999999999998,0.077230778058378,1.07705,4,1660,-1046
1757,starbus_xf_4220_4394_4497_1,132.0,0.2648732698416799,1.0573893457083343,14,-898,-2745
1544,bus_1025,0.6899999999999998,0.054478526429513036,1.08759,4,1612,-1106
1083,bus_2016,11.0,-0.26060820830071113,1.0122,6,845,-3349
1629,bus_2278,66.0,-0.5379532010737931,1.06298,7,1051,-3940
1116,bus_3378,110.0,-0.32828725629256744,1.0398436743135053,11,-422,2700
392,bus_4024,0.6899999999999998,1.2565091594234374,1.01544,12,-3059,-1328
184,bus_4027,11.5,0.98253743562289,0.98064,13,-2243,-2743
573,bus_3060,132.0,-0.11086162282300452,1.0653552519080292,9,11,5168
994,bus_4292,66.0,1.0104655210420763,1.0128544670191284,14,-2134,-3081
45,bus_3453,11.0,-0.4676461359546967,0.94245,8,-1945,6842
1405,bus_1486,132.0,-0.3456259784062632,1.0510489896399962,3,1527,-552
970,bus_1274,132.0,-0.0410959804115646,1.0874911502715803,4,925,-1481
913,bus_3540,132.0,-0.11037384958492917,1.073319206756403,9,1432,4487
1198,starbus_xf_3483_3558_3484_3,132.0,-0.23088892477544212,1.0536492981037135,8,-822,5732
563,bus_3558,275.0,-0.20035251095205087,1.0556265742422064,9,-869,5466
212,bus_2241,66.0,-0.5496438514687718,1.0663940175966231,7,1104,-4052
1545,bus_2321,22.0,-0.47266379776521755,1.0708279513393728,6,880,-3719
472,bus_1163,132.0,-0.34477784763141583,1.051518018050615,3,1359,-538
842,bus_5030,11.0,0.0625431407571313,0.96138,15,1311,-6355
215,bus_3180,132.0,-0.5136136818039341,1.0097701103487726,8,-1556,7407
254,bus_3005,66.0,-0.4436951692917139,1.0556492370173847,8,-1475,6850
1287,bus_2006,33.0,-0.16119031585952912,1.0651282151633477,6,159,-4273
223,bus_1656,33.0,-0.40089969753441584,1.008604060629085,2,-607,496
1223,bus_3617,275.0,-0.0819526202286598,1.0757284129183189,10,1122,4261
1502,bus_3324,110.0,-0.33194109574776665,1.049288308891645,11,-1281,2170
232,bus_5209,11.0,-0.138783764125954,1.0372129835585238,15,677,-6458
413,bus_5199,11.0,-0.1479853246193425,1.0178338986605968,15,1131,-6078
1340,bus_4398,33.0,0.9379529906466125,0.9460924977227494,12,-3482,-1608
692,bus_2190,330.0,-0.10446675056256104,1.041585196335417,5,736,-2406
1782,bus_4429,11.0,0.9837348796786265,0.9851555017625567,14,-1987,-3446
228,bus_3448,11.0,-0.5173020080575416,1.005618625428871,8,-1867,7466
1816,bus_3248,132.0,-0.3088493657508758,1.0433352987473363,8,-1173,6240
1844,bus_3478,132.0,-0.305280303173545,1.058357009780909,9,-1071,4053
986,starbus_xf_2191_2023_2024_1,330.0,0.03361786929792451,1.06298,4,740,-1889
1860,bus_1253,132.0,-0.33458383942689623,1.0576635028763088,2,244,419
1263,bus_1177,132.0,-0.12229685258103734,1.045409488214635,4,723,-891
1750,bus_4494,11.0,0.43636805745270846,0.9047517410448648,13,-2185,-816
390,bus_2314,22.0,-0.30383879254200485,1.0007698695604335,5,-424,-3362
1318,bus_1067,11.0,-0.03246653452398903,0.95234626069625,4,1761,-2378
100,bus_2290,66.0,-0.5113281051426164,1.0211216474265565,6,810,-3479
774,bus_4029,11.5,0.9825374357111575,0.97347,13,-2227,-2760
